
Draw_Date	Winning_Numbers	Powerball	Power_Play	Estimated_Jackpot	Jackpot_Winners	Jackpot_Option
07/21/2021	27 - 44 - 67 - 28 - 68	11	2	$161 Million	Roll	
07/17/2021	54 - 38 - 22 - 15 - 66	3	2	$150 Million	Roll	
07/14/2021	52 - 62 - 33 - 59 - 46	10	2	$137 Million	Roll	
07/10/2021	29 - 1 - 62 - 5 - 54	3	2	$127 Million	Roll	
07/07/2021	8 - 49 - 57 - 30 - 21	8	2	$113 Million	Roll	
07/03/2021	26 - 55 - 40 - 41 - 65	24	2	$101 Million	Roll	
06/30/2021	50 - 66 - 24 - 65 - 29	14	4	$88 Million	Roll	
06/26/2021	31 - 60 - 43 - 8 - 39	17	3	$75 Million	Roll	
06/23/2021	20 - 40 - 63 - 13 - 51	1	3	$63 Million	Roll	
06/19/2021	38 - 22 - 4 - 39 - 35	20	2	$52 Million	Roll	
06/16/2021	19 - 34 - 50 - 44 - 29	25	2	$40 Million	Roll	
06/12/2021	8 - 41 - 38 - 25 - 34	10	3	$31 Million	Roll	
06/09/2021	54 - 46 - 28 - 50 - 19	9	2	$20 Million	Roll	
06/05/2021	64 - 52 - 44 - 69 - 54	26	3	$286 Million	Out of State Winner	
06/02/2021	67 - 7 - 6 - 11 - 66	19	3	$268 Million	Roll	
05/29/2021	13 - 11 - 46 - 22 - 27	20	2	$253 Million	Roll	
05/26/2021	21 - 62 - 34 - 8 - 2	16	2	$236 Million	Roll	
05/22/2021	40 - 3 - 27 - 37 - 19	8	2	$218 Million	Roll	
05/19/2021	11 - 69 - 13 - 56 - 55	4	2	$201 Million	Roll	
05/15/2021	39 - 4 - 10 - 37 - 69	24	3	$183 Million	Roll	
05/12/2021	20 - 19 - 1 - 38 - 54	17	2	$168 Million	Roll	
05/08/2021	20 - 17 - 12 - 21 - 26	8	3	$157 Million	Roll	
05/05/2021	63 - 28 - 16 - 40 - 23	1	2	$142 Million	Roll	
05/01/2021	47 - 36 - 63 - 35 - 61	3	3	$129 Million	Roll	
04/28/2021	16 - 35 - 53 - 18 - 39	21	3	$116 Million	Roll	
04/24/2021	36 - 61 - 59 - 22 - 48	22	3	$104 Million	Roll	
04/21/2021	25 - 32 - 21 - 67 - 63	6	2	$90 Million	Roll	
04/17/2021	41 - 21 - 26 - 10 - 49	25	2	$79 Million	Roll	
04/14/2021	13 - 45 - 33 - 30 - 61	14	2	$67 Million	Roll	
04/10/2021	16 - 53 - 23 - 50 - 14	3	3	$55 Million	Roll	
04/07/2021	27 - 66 - 35 - 39 - 51	16	5	$43 Million	Roll	
04/03/2021	39 - 17 - 12 - 53 - 1	5	2	$32 Million	Roll	
03/31/2021	3 - 55 - 10 - 44 - 68	24	2	$20 Million	Roll	
03/27/2021	39 - 65 - 6 - 14 - 38	6	3	$238 Million	Out of State Winner	
03/24/2021	38 - 27 - 4 - 17 - 9	18	2	$220 Million	Roll	
03/20/2021	6 - 61 - 42 - 1 - 22	4	3	$200 Million	Roll	
03/17/2021	62 - 61 - 38 - 34 - 42	19	2	$184 Million	Roll	
03/13/2021	56 - 61 - 11 - 51 - 5	2	2	$169 Million	Roll	
03/10/2021	44 - 17 - 53 - 18 - 37	18	3	$155 Million	Roll	
03/06/2021	50 - 11 - 58 - 52 - 31	18	4	$138 Million	Roll	
03/03/2021	55 - 44 - 21 - 50 - 40	16	3	$123 Million	Roll	
02/27/2021	44 - 31 - 2 - 52 - 28	18	3	$106 Million	Roll	
02/24/2021	65 - 33 - 4 - 53 - 43	21	3	$90 Million	Roll	
02/20/2021	22 - 8 - 32 - 4 - 58	4	10	$78 Million	Roll	
02/17/2021	15 - 46 - 21 - 1 - 32	1	3	$66 Million	Roll	
02/13/2021	68 - 33 - 20 - 63 - 28	20	2	$56 Million	Roll	
02/10/2021	67 - 63 - 58 - 15 - 39	7	2	$42 Million	Roll	
02/06/2021	48 - 1 - 65 - 16 - 49	8	2	$30 Million	Roll	
02/03/2021	64 - 66 - 40 - 5 - 37	5	3	$20 Million	Roll	
01/30/2021	61 - 2 - 7 - 52 - 1	4	3	$30 Million	Out of State Winner	
01/27/2021	35 - 52 - 17 - 42 - 33	9	3	$20 Million	Roll	
01/23/2021	8 - 5 - 17 - 28 - 27	14	3	$20 Million	Out of State Winner	
01/20/2021	53 - 60 - 40 - 68 - 69	22	3	$730 Million	Out of State Winner	
01/16/2021	67 - 20 - 65 - 14 - 39	2	3	$640 Million	Roll	
01/13/2021	49 - 4 - 23 - 25 - 19	14	2	$550 Million	Roll	
01/09/2021	45 - 46 - 26 - 14 - 38	13	2	$470 Million	Roll	
01/06/2021	1 - 66 - 20 - 22 - 60	3	3	$410 Million	Roll	
01/02/2021	3 - 67 - 41 - 4 - 11	5	2	$384 Million	Roll	
12/30/2020	45 - 65 - 43 - 61 - 3	14	2	$363 Million	Roll	
12/26/2020	35 - 53 - 27 - 24 - 10	18	2	$341 Million	Roll	
12/23/2020	6 - 38 - 53 - 39 - 13	6	3	$321 Million	Roll	
12/19/2020	27 - 52 - 43 - 32 - 34	13	2	$304 Million	Roll	
12/16/2020	37 - 4 - 67 - 23 - 61	7	2	$287 Million	Roll	
12/12/2020	56 - 17 - 54 - 63 - 69	20	2	$277 Million	Roll	
12/09/2020	47 - 31 - 14 - 48 - 11	4	3	$262 Million	Roll	
12/05/2020	4 - 53 - 6 - 48 - 3	10	2	$243 Million	Roll	
12/02/2020	40 - 28 - 31 - 41 - 46	4	3	$231 Million	Roll	
11/28/2020	12 - 51 - 44 - 8 - 18	18	2	$216 Million	Roll	
11/25/2020	57 - 2 - 65 - 58 - 60	26	2	$202 Million	Roll	
11/21/2020	69 - 54 - 57 - 51 - 60	11	2	$192 Million	Roll	
11/18/2020	17 - 4 - 43 - 5 - 52	5	2	$179 Million	Roll	
11/14/2020	45 - 32 - 7 - 18 - 15	20	2	$168 Million	Roll	
11/11/2020	63 - 13 - 45 - 17 - 15	13	2	$158 Million	Roll	
11/07/2020	16 - 14 - 58 - 37 - 48	18	2	$149 Million	Roll	
11/04/2020	49 - 33 - 45 - 23 - 32	14	2	$137 Million	Roll	
10/31/2020	40 - 2 - 42 - 55 - 6	24	3	$127 Million	Roll	
10/28/2020	37 - 40 - 11 - 28 - 53	13	2	$116 Million	Roll	
10/24/2020	27 - 65 - 45 - 20 - 18	6	2	$102 Million	Roll	
10/21/2020	44 - 13 - 1 - 3 - 56	26	3	$91 Million	Roll	
10/17/2020	6 - 31 - 37 - 10 - 44	23	2	$82 Million	Roll	
10/14/2020	37 - 52 - 58 - 53 - 21	5	2	$72 Million	Roll	
10/10/2020	23 - 50 - 18 - 40 - 5	18	3	$62 Million	Roll	
10/07/2020	6 - 56 - 53 - 30 - 24	19	2	$52 Million	Roll	
10/03/2020	18 - 47 - 31 - 43 - 36	20	2	$43 Million	Roll	
09/30/2020	67 - 49 - 18 - 14 - 36	18	2	$34 Million	Roll	
09/26/2020	62 - 36 - 11 - 21 - 27	24	3	$25 Million	Roll	
09/23/2020	8 - 17 - 52 - 59 - 49	1	2	$22 Million	Roll	
09/19/2020	14 - 47 - 57 - 23 - 11	14	4	$20 Million	Roll	
09/16/2020	31 - 10 - 17 - 51 - 53	1	2	$94 Million	Out of State Winner	
09/12/2020	16 - 67 - 17 - 53 - 20	4	2	$85 Million	Roll	
09/09/2020	55 - 27 - 64 - 52 - 60	21	3	$75 Million	Roll	
09/05/2020	27 - 15 - 22 - 47 - 21	7	2	$66 Million	Roll	
09/02/2020	11 - 20 - 4 - 69 - 1	18	2	$56 Million	Roll	
08/29/2020	22 - 5 - 21 - 29 - 43	10	2	$47 Million	Roll	
08/26/2020	8 - 19 - 47 - 58 - 12	2	2	$37 Million	Roll	
08/22/2020	36 - 19 - 42 - 30 - 66	14	3	$29 Million	Roll	
08/19/2020	13 - 47 - 55 - 23 - 58	23	10	$22 Million	Roll	
08/15/2020	5 - 34 - 56 - 45 - 12	3	3	$20 Million	Roll	
08/12/2020	18 - 6 - 36 - 2 - 37	21	2	$169 Million	Out of State Winner	
08/08/2020	14 - 2 - 3 - 40 - 51	24	3	$158 Million	Roll	
08/05/2020	65 - 7 - 14 - 57 - 17	24	5	$147 Million	Roll	
08/01/2020	43 - 48 - 36 - 25 - 6	24	3	$137 Million	Roll	
07/29/2020	7 - 40 - 29 - 35 - 45	26	2	$126 Million	Roll	
07/25/2020	36 - 5 - 62 - 21 - 61	18	2	$117 Million	Roll	
07/22/2020	16 - 36 - 25 - 44 - 55	14	3	$106 Million	Roll	
07/18/2020	32 - 59 - 13 - 58 - 16	9	2	$97 Million	Roll	
07/15/2020	61 - 69 - 47 - 27 - 62	4	10	$87 Million	Roll	
07/11/2020	61 - 14 - 19 - 62 - 64	4	2	$79 Million	Roll	
07/08/2020	36 - 10 - 3 - 34 - 62	5	10	$69 Million	Roll	
07/04/2020	60 - 16 - 21 - 27 - 61	6	2	$60 Million	Roll	
07/01/2020	53 - 28 - 15 - 52 - 63	18	4	$51 Million	Roll	
06/27/2020	36 - 56 - 49 - 62 - 9	8	2	$42 Million	Roll	
06/24/2020	15 - 22 - 46 - 27 - 33	23	3	$33 Million	Roll	
06/20/2020	67 - 10 - 31 - 63 - 41	5	3	$25 Million	Roll	
06/17/2020	10 - 7 - 68 - 64 - 63	10	3	$22 Million	Roll	
06/13/2020	65 - 12 - 2 - 32 - 50	5	3	$20 Million	Roll	
06/10/2020	33 - 10 - 41 - 54 - 52	18	5	$22 Million	Out of State Winner	
06/06/2020	68 - 38 - 69 - 1 - 17	18	2	$20 Million	Roll	
06/03/2020	64 - 26 - 1 - 3 - 41	17	2	$135 Million	Out of State Winner	
05/30/2020	32 - 13 - 58 - 41 - 60	14	2	$125 Million	Roll	
05/27/2020	58 - 38 - 59 - 64 - 68	21	3	$114 Million	Roll	
05/23/2020	2 - 23 - 8 - 18 - 21	16	4	$104 Million	Roll	
05/20/2020	42 - 40 - 50 - 18 - 34	9	2	$95 Million	Roll	
05/16/2020	8 - 12 - 26 - 42 - 39	11	2	$86 Million	Roll	
05/13/2020	57 - 54 - 53 - 56 - 39	20	3	$77 Million	Roll	
05/09/2020	42 - 12 - 65 - 48 - 18	19	5	$68 Million	Roll	
05/06/2020	65 - 8 - 7 - 50 - 35	20	4	$59 Million	Roll	
05/02/2020	58 - 33 - 13 - 68 - 16	24	5	$51 Million	Roll	
04/29/2020	49 - 61 - 67 - 2 - 20	20	2	$43 Million	Roll	
04/25/2020	1 - 21 - 3 - 57 - 47	18	2	$37 Million	Roll	
04/22/2020	1 - 40 - 69 - 33 - 35	24	5	$29 Million	Roll	
04/18/2020	46 - 63 - 56 - 4 - 44	19	2	$24 Million	Roll	
04/15/2020	10 - 33 - 41 - 12 - 36	2	3	$22 Million	Roll	
04/11/2020	29 - 47 - 30 - 22 - 42	17	3	$20 Million	Roll	
04/08/2020	48 - 54 - 39 - 2 - 37	5	3	$190 Million	Out of State Winner	
04/04/2020	40 - 43 - 31 - 8 - 39	4	3	$180 Million	Roll	
04/01/2020	60 - 45 - 48 - 33 - 35	16	2	$170 Million	Roll	
03/28/2020	40 - 7 - 55 - 66 - 48	11	2	$160 Million	Roll	
03/25/2020	42 - 9 - 5 - 27 - 39	16	2	$150 Million	Roll	
03/21/2020	69 - 23 - 2 - 59 - 40	13	2	$140 Million	Roll	
03/18/2020	27 - 15 - 59 - 44 - 63	8	4	$130 Million	Roll	
03/14/2020	26 - 32 - 9 - 23 - 30	8	3	$120 Million	Roll	
03/11/2020	29 - 50 - 67 - 4 - 49	2	4	$110 Million	Roll	
03/07/2020	15 - 62 - 7 - 21 - 33	23	2	$100 Million	Roll	
03/04/2020	68 - 60 - 18 - 43 - 58	14	2	$90 Million	Roll	
02/29/2020	24 - 50 - 46 - 44 - 51	13	3	$80 Million	Roll	
02/26/2020	27 - 29 - 36 - 47 - 8	24	3	$70 Million	Roll	
02/22/2020	61 - 62 - 37 - 39 - 25	11	3	$60 Million	Roll	
02/19/2020	15 - 10 - 12 - 56 - 19	19	2	$50 Million	Roll	
02/15/2020	32 - 16 - 36 - 46 - 35	3	3	$40 Million	Roll	
02/12/2020	55 - 68 - 47 - 54 - 14	25	2	$70 Million	Out of State Winner	
02/08/2020	59 - 66 - 35 - 50 - 49	6	2	$60 Million	Roll	
02/05/2020	57 - 41 - 35 - 30 - 23	2	3	$50 Million	Roll	
02/01/2020	33 - 60 - 54 - 57 - 12	13	4	$40 Million	Roll	
01/29/2020	12 - 60 - 9 - 15 - 31	2	2	$394 Million	Out of State Winner	
01/25/2020	36 - 17 - 2 - 67 - 9	18	2	$373 Million	Roll	
01/22/2020	33 - 59 - 44 - 67 - 11	8	3	$343 Million	Roll	
01/18/2020	24 - 68 - 20 - 38 - 56	18	2	$321 Million	Roll	
01/15/2020	39 - 55 - 53 - 41 - 68	19	2	$296 Million	Roll	
01/11/2020	23 - 59 - 31 - 3 - 21	3	2	$277 Million	Roll	
01/08/2020	7 - 43 - 56 - 4 - 2	22	4	$258 Million	Roll	
01/04/2020	54 - 1 - 25 - 21 - 11	7	2	$237 Million	Roll	
01/01/2020	49 - 53 - 57 - 59 - 62	26	2	$220 Million	Roll	
12/28/2019	59 - 23 - 39 - 20 - 60	18	2	$200 Million	Roll	
12/25/2019	4 - 16 - 2 - 30 - 46	20	2	$183 Million	Roll	
12/21/2019	50 - 35 - 67 - 19 - 31	14	2	$171 Million	Roll	
12/18/2019	39 - 26 - 68 - 18 - 14	9	2	$160 Million	Roll	
12/14/2019	6 - 32 - 3 - 12 - 64	19	3	$150 Million	Roll	
12/11/2019	24 - 42 - 29 - 44 - 63	10	4	$140 Million	Roll	
12/07/2019	66 - 53 - 18 - 42 - 62	25	3	$130 Million	Roll	
12/04/2019	8 - 44 - 61 - 51 - 27	14	3	$120 Million	Roll	
11/30/2019	42 - 35 - 15 - 63 - 68	18	4	$110 Million	Roll	
11/27/2019	26 - 55 - 37 - 53 - 15	21	2	$100 Million	Roll	
11/23/2019	38 - 28 - 66 - 35 - 61	23	3	$90 Million	Roll	
11/20/2019	40 - 15 - 39 - 57 - 7	12	2	$80 Million	Roll	
11/16/2019	26 - 55 - 63 - 14 - 22	26	3	$70 Million	Roll	
11/13/2019	23 - 28 - 66 - 27 - 26	11	2	$60 Million	Roll	
11/09/2019	14 - 38 - 60 - 35 - 17	25	2	$50 Million	Roll	
11/06/2019	64 - 46 - 28 - 62 - 15	17	3	$40 Million	Roll	
11/02/2019	23 - 37 - 32 - 58 - 3	22	2	$150 Million	Out of State Winner	
10/30/2019	56 - 67 - 52 - 19 - 22	21	2	$140 Million	Roll	
10/26/2019	3 - 54 - 20 - 59 - 48	4	4	$130 Million	Roll	
10/23/2019	61 - 50 - 12 - 5 - 69	23	2	$120 Million	Roll	
10/19/2019	65 - 27 - 59 - 14 - 29	12	2	$110 Million	Roll	
10/16/2019	67 - 1 - 25 - 5 - 63	3	2	$100 Million	Roll	
10/12/2019	12 - 34 - 53 - 65 - 29	23	2	$90 Million	Roll	
10/09/2019	5 - 43 - 65 - 18 - 33	2	2	$80 Million	Roll	
10/05/2019	6 - 51 - 36 - 54 - 14	4	2	$70 Million	Roll	
10/02/2019	43 - 53 - 8 - 10 - 4	7	2	$60 Million	Roll	
09/28/2019	51 - 55 - 34 - 15 - 23	4	2	$50 Million	Roll	
09/25/2019	44 - 43 - 37 - 45 - 53	25	3	$40 Million	Roll	
09/21/2019	1 - 68 - 36 - 22 - 9	22	2	$80 Million	Out of State Winner	
09/18/2019	14 - 19 - 47 - 51 - 39	15	3	$70 Million	Roll	
09/14/2019	31 - 11 - 27 - 36 - 67	11	2	$60 Million	Roll	
09/11/2019	53 - 24 - 57 - 6 - 17	3	3	$50 Million	Roll	
09/07/2019	41 - 56 - 20 - 11 - 42	6	2	$40 Million	Roll	
09/04/2019	52 - 30 - 8 - 4 - 59	2	10	$80 Million	Out of State Winner	
08/31/2019	41 - 50 - 14 - 56 - 57	18	5	$70 Million	Roll	
08/28/2019	32 - 9 - 41 - 56 - 37	14	10	$60 Million	Roll	
08/24/2019	47 - 20 - 12 - 21 - 5	1	2	$50 Million	Roll	
08/21/2019	22 - 32 - 21 - 12 - 29	21	2	$40 Million	Roll	
08/17/2019	24 - 30 - 18 - 21 - 60	20	3	$149 Million	Out of State Winner	
08/14/2019	51 - 69 - 30 - 10 - 13	10	2	$138 Million	Roll	
08/10/2019	41 - 59 - 58 - 44 - 35	3	3	$128 Million	Roll	
08/07/2019	47 - 8 - 59 - 32 - 53	3	3	$112 Million	Roll	
08/03/2019	45 - 68 - 3 - 6 - 66	13	2	$102 Million	Roll	
07/31/2019	14 - 37 - 67 - 47 - 55	6	2	$88 Million	Roll	
07/27/2019	61 - 19 - 1 - 48 - 31	6	2	$75 Million	Roll	
07/24/2019	29 - 53 - 56 - 35 - 22	13	2	$63 Million	Roll	
07/20/2019	5 - 64 - 36 - 26 - 69	19	3	$53 Million	Roll	
07/17/2019	19 - 47 - 68 - 60 - 43	10	2	$40 Million	Roll	
07/13/2019	32 - 35 - 13 - 23 - 68	21	3	$194 Million	Out of State Winner	
07/10/2019	7 - 68 - 9 - 26 - 44	3	3	$180 Million	Roll	
07/06/2019	4 - 8 - 46 - 23 - 65	1	2	$165 Million	Roll	
07/03/2019	50 - 45 - 43 - 40 - 61	25	3	$150 Million	Roll	
06/29/2019	59 - 13 - 24 - 62 - 17	8	2	$137 Million	Roll	
06/26/2019	54 - 22 - 16 - 1 - 5	24	3	$122 Million	Roll	
06/22/2019	66 - 14 - 3 - 6 - 11	21	2	$108 Million	Roll	
06/19/2019	26 - 38 - 21 - 4 - 18	1	3	$92 Million	Roll	
06/15/2019	8 - 11 - 49 - 16 - 14	14	3	$79 Million	Roll	
06/12/2019	42 - 57 - 35 - 38 - 5	13	2	$66 Million	Roll	
06/08/2019	13 - 9 - 48 - 42 - 60	18	2	$53 Million	Roll	
06/05/2019	38 - 17 - 28 - 34 - 23	8	3	$40 Million	Roll	
06/01/2019	34 - 45 - 6 - 52 - 15	8	2	$350 Million	Out of State Winner	
05/29/2019	61 - 3 - 42 - 32 - 34	7	2	$325 Million	Roll	
05/25/2019	43 - 39 - 2 - 66 - 1	2	3	$308 Million	Roll	
05/22/2019	7 - 44 - 57 - 10 - 20	3	2	$288 Million	Roll	
05/18/2019	2 - 10 - 66 - 67 - 25	26	4	$270 Million	Roll	
05/15/2019	33 - 68 - 61 - 17 - 7	4	2	$250 Million	Roll	
05/11/2019	40 - 9 - 8 - 6 - 37	26	2	$235 Million	Roll	
05/08/2019	66 - 64 - 45 - 53 - 1	3	3	$215 Million	Roll	
05/04/2019	30 - 6 - 23 - 16 - 61	2	2	$199 Million	Roll	
05/01/2019	66 - 28 - 23 - 56 - 5	17	5	$181 Million	Roll	
04/27/2019	45 - 29 - 62 - 41 - 2	6	3	$166 Million	Roll	
04/24/2019	35 - 65 - 32 - 36 - 6	4	5	$150 Million	Roll	
04/20/2019	3 - 63 - 27 - 65 - 30	1	3	$136 Million	Roll	
04/17/2019	15 - 46 - 66 - 17 - 1	15	3	$118 Million	Roll	
04/13/2019	17 - 26 - 32 - 4 - 49	10	2	$101 Million	Roll	
04/10/2019	39 - 12 - 21 - 23 - 67	6	4	$84 Million	Roll	
04/06/2019	33 - 43 - 60 - 59 - 15	8	3	$68 Million	Roll	
04/03/2019	25 - 16 - 32 - 49 - 19	18	2	$54 Million	Roll	
03/30/2019	54 - 52 - 21 - 64 - 68	4	3	$40 Million	Roll	
03/27/2019	44 - 62 - 20 - 37 - 16	12	3	$750 Million	Out of State Winner	
03/23/2019	66 - 52 - 60 - 24 - 25	5	3	$625 Million	Roll	
03/20/2019	10 - 53 - 50 - 63 - 14	21	2	$550 Million	Roll	
03/16/2019	67 - 30 - 34 - 39 - 53	11	2	$495 Million	Roll	
03/13/2019	69 - 36 - 45 - 47 - 18	14	3	$448 Million	Roll	
03/09/2019	45 - 5 - 59 - 55 - 6	14	3	$414 Million	Roll	
03/06/2019	21 - 35 - 10 - 6 - 46	23	2	$381 Million	Roll	
03/02/2019	27 - 68 - 25 - 19 - 1	21	2	$348 Million	Roll	
02/27/2019	49 - 31 - 59 - 42 - 21	23	5	$322 Million	Roll	
02/23/2019	32 - 4 - 20 - 6 - 14	13	2	$304 Million	Roll	
02/20/2019	50 - 52 - 49 - 51 - 27	2	2	$282 Million	Roll	
02/16/2019	48 - 30 - 41 - 64 - 29	1	4	$260 Million	Roll	
02/13/2019	2 - 24 - 8 - 69 - 14	26	2	$242 Million	Roll	
02/09/2019	7 - 39 - 2 - 3 - 1	25	3	$224 Million	Roll	
02/06/2019	13 - 28 - 5 - 63 - 38	21	5	$204 Million	Roll	
02/02/2019	10 - 43 - 17 - 18 - 65	13	5	$191 Million	Roll	
01/30/2019	16 - 2 - 12 - 29 - 54	6	2	$174 Million	Roll	
01/26/2019	12 - 8 - 21 - 32 - 20	10	4	$161 Million	Roll	
01/23/2019	50 - 25 - 48 - 23 - 47	24	3	$144 Million	Roll	
01/19/2019	5 - 65 - 8 - 66 - 41	20	3	$129 Million	Roll	
01/16/2019	14 - 61 - 29 - 31 - 56	1	2	$112 Million	Roll	
01/12/2019	57 - 58 - 7 - 36 - 48	24	2	$96 Million	Roll	
01/09/2019	19 - 59 - 37 - 6 - 49	22	3	$82 Million	Roll	
01/05/2019	15 - 27 - 69 - 7 - 3	19	2	$69 Million	Roll	
01/02/2019	56 - 46 - 42 - 12 - 8	12	2	$53 Million	Roll	
12/29/2018	51 - 53 - 42 - 62 - 12	25	2	$40 Million	Roll	
12/26/2018	52 - 38 - 25 - 67 - 5	24	2	$294 Million	Out of State Winner	
12/22/2018	40 - 59 - 28 - 21 - 30	26	3	$281 Million	Roll	
12/19/2018	43 - 31 - 29 - 37 - 15	16	2	$262 Million	Roll	
12/15/2018	8 - 38 - 55 - 52 - 43	17	3	$246 Million	Roll	
12/12/2018	9 - 64 - 29 - 21 - 4	26	2	$230 Million	Roll	
12/08/2018	61 - 14 - 34 - 32 - 46	10	2	$217 Million	Roll	
12/05/2018	36 - 38 - 9 - 11 - 37	11	5	$200 Million	Roll	
12/01/2018	10 - 58 - 47 - 11 - 55	26	2	$183 Million	Roll	
11/28/2018	4 - 68 - 59 - 69 - 19	21	2	$171 Million	Roll	
11/24/2018	56 - 33 - 58 - 51 - 11	18	2	$155 Million	Roll	
11/21/2018	14 - 23 - 38 - 7 - 55	18	2	$139 Million	Roll	
11/17/2018	8 - 6 - 68 - 20 - 52	5	2	$124 Million	Roll	
11/14/2018	49 - 62 - 42 - 7 - 69	23	5	$107 Million	Roll	
11/10/2018	53 - 29 - 5 - 57 - 34	24	2	$92 Million	Roll	
11/07/2018	50 - 28 - 34 - 42 - 26	25	2	$71 Million	Roll	
11/03/2018	24 - 65 - 21 - 32 - 15	11	3	$53 Million	Roll	
10/31/2018	40 - 39 - 47 - 7 - 25	20	3	$40 Million	Roll	
10/27/2018	13 - 12 - 8 - 27 - 19	4	3	$750 Million	Out of State Winner	
10/24/2018	56 - 53 - 45 - 21 - 3	22	2	$620 Million	Roll	
10/20/2018	62 - 16 - 54 - 57 - 69	23	2	$470 Million	Roll	
10/17/2018	3 - 64 - 69 - 68 - 57	15	3	$345 Million	Roll	
10/13/2018	14 - 65 - 11 - 43 - 32	15	3	$314 Million	Roll	
10/10/2018	27 - 60 - 42 - 23 - 8	7	3	$282 Million	Roll	
10/06/2018	22 - 53 - 27 - 67 - 1	15	3	$253 Million	Roll	
10/03/2018	63 - 66 - 53 - 59 - 41	3	3	$229 Million	Roll	
09/29/2018	9 - 17 - 34 - 59 - 64	22	2	$213 Million	Roll	
09/26/2018	7 - 1 - 30 - 50 - 2	8	5	$193 Million	Roll	
09/22/2018	61 - 24 - 69 - 64 - 63	18	5	$178 Million	Roll	
09/19/2018	50 - 4 - 51 - 48 - 39	11	3	$163 Million	Roll	
09/15/2018	19 - 18 - 24 - 34 - 2	3	3	$147 Million	Roll	
09/12/2018	28 - 48 - 63 - 6 - 64	24	2	$132 Million	Roll	
09/08/2018	20 - 32 - 3 - 33 - 13	21	3	$114 Million	Roll	
09/05/2018	59 - 60 - 6 - 50 - 15	13	2	$100 Million	Roll	
09/01/2018	54 - 66 - 55 - 61 - 11	9	3	$90 Million	Roll	
08/29/2018	53 - 25 - 41 - 67 - 57	12	2	$80 Million	Roll	
08/25/2018	25 - 20 - 57 - 63 - 54	8	2	$70 Million	Roll	
08/22/2018	45 - 1 - 47 - 69 - 7	13	2	$60 Million	Roll	
08/18/2018	34 - 67 - 52 - 61 - 24	16	3	$50 Million	Roll	
08/15/2018	28 - 15 - 12 - 47 - 48	16	2	$40 Million	Roll	
08/11/2018	56 - 43 - 5 - 68 - 62	24	2	$247 Million	Out of State Winner	
08/08/2018	21 - 63 - 30 - 43 - 10	17	2	$223 Million	Roll	
08/04/2018	38 - 58 - 3 - 11 - 44	2	4	$203 Million	Roll	
08/01/2018	5 - 38 - 22 - 58 - 32	26	2	$187 Million	Roll	
07/28/2018	27 - 65 - 56 - 46 - 22	13	2	$168 Million	Roll	
07/25/2018	64 - 44 - 18 - 2 - 41	26	2	$147 Million	Roll	
07/21/2018	9 - 56 - 58 - 23 - 68	1	2	$130 Million	Roll	
07/18/2018	28 - 36 - 10 - 1 - 27	12	2	$110 Million	Roll	
07/14/2018	49 - 22 - 41 - 67 - 42	11	3	$100 Million	Roll	
07/11/2018	21 - 19 - 47 - 27 - 46	7	4	$90 Million	Roll	
07/07/2018	45 - 43 - 1 - 10 - 64	22	3	$80 Million	Roll	
07/04/2018	7 - 41 - 15 - 4 - 44	10	2	$70 Million	Roll	
06/30/2018	9 - 3 - 20 - 42 - 61	24	2	$60 Million	Roll	
06/27/2018	63 - 28 - 62 - 7 - 37	15	2	$50 Million	Roll	
06/23/2018	29 - 56 - 45 - 16 - 43	25	2	$40 Million	Roll	
06/20/2018	14 - 56 - 27 - 4 - 23	13	2	$151 Million	Out of State Winner	
06/16/2018	65 - 9 - 58 - 57 - 45	9	2	$137 Million	Roll	
06/13/2018	13 - 38 - 45 - 20 - 55	1	2	$121 Million	Roll	
06/09/2018	36 - 10 - 25 - 6 - 15	14	3	$105 Million	Roll	
06/06/2018	53 - 28 - 41 - 23 - 56	14	3	$87 Million	Roll	
06/02/2018	23 - 37 - 64 - 44 - 25	7	4	$74 Million	Roll	
05/30/2018	46 - 23 - 26 - 17 - 68	20	2	$60 Million	Roll	
05/26/2018	45 - 31 - 21 - 1 - 49	21	2	$50 Million	Roll	
05/23/2018	20 - 54 - 61 - 56 - 64	7	4	$40 Million	Roll	
05/19/2018	56 - 9 - 17 - 3 - 6	25	3	$306 Million	Out of State Winner	
05/16/2018	17 - 22 - 21 - 19 - 51	19	2	$280 Million	Roll	
05/12/2018	42 - 56 - 22 - 55 - 45	14	3	$257 Million	Roll	
05/09/2018	50 - 69 - 16 - 38 - 11	19	2	$233 Million	Roll	
05/05/2018	29 - 36 - 14 - 61 - 57	17	4	$215 Million	Roll	
05/02/2018	40 - 5 - 31 - 50 - 14	6	2	$195 Million	Roll	
04/28/2018	28 - 50 - 22 - 45 - 20	8	5	$177 Million	Roll	
04/25/2018	18 - 17 - 39 - 64 - 56	12	3	$158 Million	Roll	
04/21/2018	50 - 69 - 54 - 62 - 40	19	2	$142 Million	Roll	
04/18/2018	12 - 17 - 10 - 9 - 23	9	2	$122 Million	Roll	
04/14/2018	61 - 17 - 19 - 26 - 62	15	2	$106 Million	Roll	
04/11/2018	67 - 18 - 16 - 55 - 27	18	3	$89 Million	Roll	
04/07/2018	38 - 2 - 20 - 17 - 39	20	2	$74 Million	Roll	
04/04/2018	42 - 64 - 54 - 8 - 24	24	4	$60 Million	Roll	
03/31/2018	24 - 55 - 52 - 61 - 8	21	3	$50 Million	Roll	
