
Draw_Date	Winning_Numbers	Powerball	Power_Play	Estimated_Jackpot	Jackpot_Winners	Jackpot_Option
04/05/2023	52 - 42 - 9 - 3 - 5	11	2	$170 Million	Roll	
04/03/2023	16 - 31 - 68 - 30 - 54	1	2	$159 Million	Roll	
04/01/2023	19 - 29 - 21 - 11 - 52	17	4	$147 Million	Roll	
03/29/2023	66 - 9 - 24 - 46 - 4	7	3	$132 Million	Roll	
03/27/2023	36 - 19 - 26 - 58 - 43	14	3	$122 Million	Roll	
03/25/2023	15 - 57 - 18 - 47 - 17	19	2	$112 Million	Roll	
03/22/2023	37 - 27 - 28 - 50 - 57	5	2	$96 Million	Roll	
03/20/2023	32 - 67 - 47 - 1 - 27	14	2	$86 Million	Roll	
03/18/2023	69 - 20 - 14 - 30 - 54	11	2	$78 Million	Roll	
03/15/2023	18 - 33 - 37 - 50 - 16	8	2	$63 Million	Roll	
03/13/2023	3 - 46 - 24 - 10 - 63	4	2	$52 Million	Roll	
03/11/2023	33 - 58 - 11 - 43 - 20	24	2	$45 Million	Roll	
03/08/2023	43 - 69 - 26 - 27 - 61	4	3	$31 Million	Roll	
03/06/2023	69 - 58 - 13 - 29 - 2	4	3	$20 Million	Roll	
03/04/2023	10 - 40 - 16 - 18 - 66	16	3	$161 Million	Out of State Winner	
03/01/2023	2 - 28 - 9 - 36 - 53	4	2	$143 Million	Roll	
02/27/2023	55 - 49 - 16 - 28 - 51	23	2	$131 Million	Roll	
02/25/2023	24 - 66 - 58 - 11 - 67	26	3	$119 Million	Roll	
02/22/2023	11 - 39 - 65 - 44 - 19	7	2	$100 Million	Roll	
02/20/2023	17 - 3 - 54 - 38 - 26	15	3	$87 Million	Roll	
02/18/2023	31 - 8 - 37 - 32 - 21	23	4	$73 Million	Roll	
02/15/2023	60 - 31 - 63 - 54 - 32	12	4	$57 Million	Roll	
02/13/2023	26 - 37 - 17 - 65 - 61	2	2	$45 Million	Roll	
02/11/2023	65 - 30 - 10 - 23 - 54	11	4	$34 Million	Roll	
02/08/2023	64 - 59 - 66 - 58 - 52	9	2	$20 Million	Roll	
02/06/2023	22 - 11 - 23 - 5 - 69	7	2	$747 Million	Out of State Winner	
02/04/2023	58 - 2 - 15 - 19 - 8	10	2	$700 Million	Roll	
02/01/2023	58 - 59 - 43 - 31 - 66	9	2	$653 Million	Roll	
01/30/2023	49 - 1 - 36 - 4 - 12	5	2	$613 Million	Roll	
01/28/2023	23 - 27 - 47 - 18 - 2	15	4	$572 Million	Roll	
01/25/2023	17 - 38 - 20 - 9 - 40	18	2	$526 Million	Roll	
01/23/2023	47 - 60 - 31 - 58 - 12	23	3	$502 Million	Roll	
01/21/2023	14 - 5 - 64 - 19 - 46	22	4	$473 Million	Roll	
01/18/2023	15 - 47 - 22 - 6 - 42	26	3	$439 Million	Roll	
